	Su2C					TCGA							
Creation of C4 and C2 activators	3	0.272727273	0.646669791		0	0	0	11		Su2C	0	1	Su2C
Cross-presentation of particulate exogenous antigens (phagosomes)	3	0.272727273	0.467099366		0	0	0	11		Su2C	0	1	Su2C
Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels	3	0.272727273	0.467099366		0	0	0	11		Su2C	0	1	Su2C
Digestion of dietary carbohydrate	3	0.272727273	0.467099366		0	0	0	11		Su2C	0	1	Su2C
Facilitative Na+-independent glucose transporters	3	0.272727273	0.467099366		0	0	0	11		Su2C	0	1	Su2C
Ficolins bind to repetitive carbohydrate structures on the target cell surface	3	0.272727273	0.646669791		0	0	0	11		Su2C	0	1	Su2C
Initial triggering of complement	3	0.272727273	0.646669791		0	0	0	11		Su2C	0	1	Su2C
Lectin pathway of complement activation	3	0.272727273	0.646669791		0	0	0	11		Su2C	0	1	Su2C
Prefoldin mediated transfer of substrate  to CCT/TriC	3	0.272727273	0.467099366		0	0	0	11		Su2C	0	1	Su2C
Synthesis of pyrophosphates in the cytosol	3	0.272727273	0.646669791		0	0	0	11		Su2C	0	1	Su2C
Transcriptional  activation of  cell cycle inhibitor p21	3	0.272727273	0.467099366		0	0	0	11		Su2C	0	1	Su2C
Transcriptional activation of p53 responsive genes	3	0.272727273	0.467099366		0	0	0	11		Su2C	0	1	Su2C
Anchoring fibril formation	4	0.363636364	0.504524979		0	0	0	11		Su2C	0	1	Su2C
Metabolism of polyamines	4	0.363636364	0.674199862		0	0	0	11		Su2C	0	1	Su2C
Neurotransmitter Clearance In The Synaptic Cleft	5	0.454545455	0.522232968		0	0	0	11		Su2C	0	1	Su2C
Synthesis of very long-chain fatty acyl-CoAs	5	0.454545455	0.934198733		0	0	0	11		Su2C	0	1	Su2C
Trafficking and processing of endosomal TLR	5	0.454545455	0.820199532		0	0	0	11		Su2C	0	1	Su2C
Pregnenolone biosynthesis	6	0.545454545	0.687551651		0	0	0	11		Su2C	0	1	Su2C
Amino acid transport across the plasma membrane	8	0.727272727	1.009049958		0	0	0	11		Su2C	0	1	Su2C
Signaling by GPCR	143	13	9.19782583		185	16.81818182	32.44323714	11		TCGA	1	0	TCGA
GPCR downstream signaling	133	12.09090909	9.224473377		166	15.09090909	29.90135296	11		TCGA	1	0	TCGA
Metabolism of lipids and lipoproteins	86	7.818181818	5.036232358		118	10.72727273	11.37621122	11		TCGA	1	0	TCGA
Innate Immune System	70	6.363636364	5.14339824		107	9.727272727	11.58525709	11		TCGA	1	0	TCGA
Adaptive Immune System	73	6.636363636	4.985433327		103	9.363636364	11.44790572	11		TCGA	1	0	TCGA
Generic Transcription Pathway	64	5.818181818	4.166969686		95	8.636363636	10.96606335	11		TCGA	1	0	TCGA
GPCR ligand binding	51	4.636363636	3.074824459		79	7.181818182	14.36536238	11		TCGA	1	0	TCGA
Olfactory Signaling Pathway	53	4.818181818	8.953414788		73	6.636363636	15.85101087	11		TCGA	1	0	TCGA
"Cell Cycle, Mitotic"	37	3.363636364	1.120064933		70	6.363636364	7.852040846	11		TCGA	1	0	TCGA
Axon guidance	48	4.363636364	3.074824459		63	5.727272727	6.278390066	11		TCGA	1	0	TCGA
Class A/1 (Rhodopsin-like receptors)	36	3.272727273	2.053821272		60	5.454545455	11.79291004	11		TCGA	1	0	TCGA
Transcription	18	1.636363636	1.629277587		58	5.272727273	8.521630232	11		TCGA	1	0	TCGA
Signalling by NGF	49	4.454545455	3.110100846		57	5.181818182	6.431456784	11		TCGA	1	0	TCGA
"Platelet activation, signaling and aggregation"	39	3.545454545	2.583162262		56	5.090909091	5.906852723	11		TCGA	1	0	TCGA
Cytokine Signaling in Immune system	47	4.272727273	2.7601054		51	4.636363636	6.168836637	11		TCGA	1	0	TCGA
Signaling by PDGF	30	2.727272727	2.572582714		49	4.454545455	6.022684391	11		TCGA	1	0	TCGA
Mitotic M-M/G1 phases	24	2.181818182	0.981649817		47	4.272727273	4.900834808	11		TCGA	1	0	TCGA
NGF signalling via TRKA from the plasma membrane	27	2.454545455	2.018099916		47	4.272727273	5.139862043	11		TCGA	1	0	TCGA
Metabolism of carbohydrates	41	3.727272727	2.240129866		47	4.272727273	6.958317456	11		TCGA	1	0	TCGA
Ion channel transport	36	3.272727273	2.493628244		46	4.181818182	5.437245292	11		TCGA	1	0	TCGA
G alpha (i) signalling events	30	2.727272727	2.572582714		45	4.090909091	7.21740321	11		TCGA	1	0	TCGA
Metabolism of RNA	19	1.727272727	0.786245393		44	4	5.234500931	11		TCGA	1	0	TCGA
Gastrin-CREB signalling pathway via PKC and MAPK	35	3.181818182	2.750206604		44	4	6.6633325	11		TCGA	1	0	TCGA
HIV Infection	23	2.090909091	1.868397466		43	3.909090909	5.337687616	11		TCGA	1	0	TCGA
Peptide ligand-binding receptors	22	2	1.414213562		42	3.818181818	7.250078369	11		TCGA	1	0	TCGA
Class I MHC mediated antigen processing & presentation	32	2.909090909	2.022599587		42	3.818181818	4.512608599	11		TCGA	1	0	TCGA
Signaling by EGFR	25	2.272727273	2.101947149		41	3.727272727	4.606319769	11		TCGA	1	0	TCGA
Signaling by EGFR in Cancer	25	2.272727273	2.101947149		41	3.727272727	4.606319769	11		TCGA	1	0	TCGA
Signaling by the B Cell Receptor (BCR)	25	2.272727273	2.412090757		40	3.636363636	4.410730717	11		TCGA	1	0	TCGA
"Fatty acid, triacylglycerol, and ketone body metabolism"	30	2.727272727	2.453198284		40	3.636363636	4.388000166	11		TCGA	1	0	TCGA
G alpha (q) signalling events	32	2.909090909	2.385562636		40	3.636363636	6.652408996	11		TCGA	1	0	TCGA
Fc epsilon receptor (FCERI) signaling	33	3	2.48997992		40	3.636363636	4.566677726	11		TCGA	1	0	TCGA
M Phase	22	2	1		39	3.545454545	4.227614844	11		TCGA	1	0	TCGA
Signaling by FGFR in disease	24	2.181818182	2.088931871		39	3.545454545	4.590504033	11		TCGA	1	0	TCGA
Antigen processing: Ubiquitination & Proteasome degradation	28	2.545454545	1.809068067		39	3.545454545	4.227614844	11		TCGA	1	0	TCGA
Transmission across Chemical Synapses	35	3.181818182	2.482667187		39	3.545454545	5.106146029	11		TCGA	1	0	TCGA
Metabolism of mRNA	15	1.363636364	0.674199862		38	3.454545455	4.390071443	11		TCGA	1	0	TCGA
Biological oxidations	12	1.090909091	0.831209415		37	3.363636364	4.759679134	11		TCGA	1	0	TCGA
Signaling by ERBB2	20	1.818181818	1.778661397		37	3.363636364	4.105428778	11		TCGA	1	0	TCGA
Downstream signal transduction	25	2.272727273	2.195035721		37	3.363636364	4.388000166	11		TCGA	1	0	TCGA
"RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription"	10	0.909090909	1.221027883		36	3.272727273	5.623004697	11		TCGA	1	0	TCGA
Potassium Channels	15	1.363636364	1.206045378		36	3.272727273	3.849439156	11		TCGA	1	0	TCGA
Signaling by FGFR	21	1.909090909	1.868397466		36	3.272727273	3.951984542	11		TCGA	1	0	TCGA
Downstream Signaling Events Of B Cell Receptor (BCR)	23	2.090909091	2.34326889		36	3.272727273	4.027180381	11		TCGA	1	0	TCGA
Cellular Senescence	28	2.545454545	2.018099916		36	3.272727273	5.693696674	11		TCGA	1	0	TCGA
DAP12 signaling	23	2.090909091	1.758098146		35	3.181818182	3.970344615	11		TCGA	1	0	TCGA
DAP12 interactions	24	2.181818182	1.721521526		35	3.181818182	3.970344615	11		TCGA	1	0	TCGA
Downstream signaling of activated FGFR	20	1.818181818	1.778661397		34	3.090909091	3.780331876	11		TCGA	1	0	TCGA
Signaling by SCF-KIT	21	1.909090909	1.700267359		34	3.090909091	3.986340313	11		TCGA	1	0	TCGA
Signaling by ERBB4	25	2.272727273	2.004540301		34	3.090909091	3.961175216	11		TCGA	1	0	TCGA
Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell	22	2	1.788854382		32	2.909090909	4.229764661	11		TCGA	1	0	TCGA
SLC-mediated transmembrane transport	32	2.909090909	2.625054112		32	2.909090909	3.832872173	11		TCGA	1	0	TCGA
Mitotic Anaphase	15	1.363636364	0.809039835		31	2.818181818	3.600505015	11		TCGA	1	0	TCGA
Mitotic Metaphase and Anaphase	15	1.363636364	0.809039835		31	2.818181818	3.600505015	11		TCGA	1	0	TCGA
HIV Life Cycle	16	1.454545455	1.572490786		31	2.818181818	4.094341994	11		TCGA	1	0	TCGA
Chromosome Maintenance	19	1.727272727	1.793929156		31	2.818181818	4.214692915	11		TCGA	1	0	TCGA
Toll-Like Receptors Cascades	23	2.090909091	2.427119505		30	2.727272727	3.289100457	11		TCGA	1	0	TCGA
Regulation of Lipid Metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	19	1.727272727	1.555050423		29	2.636363636	3.29462372	11		TCGA	1	0	TCGA
Late Phase of HIV Life Cycle	15	1.363636364	1.433368569		28	2.545454545	3.697665111	11		TCGA	1	0	TCGA
PPARA Activates Gene Expression	19	1.727272727	1.555050423		28	2.545454545	3.17375602	11		TCGA	1	0	TCGA
Stimuli-sensing channels	20	1.818181818	1.887759615		28	2.545454545	3.17375602	11		TCGA	1	0	TCGA
Metabolism of amino acids and derivatives	21	1.909090909	1.868397466		28	2.545454545	3.697665111	11		TCGA	1	0	TCGA
Glycosaminoglycan metabolism	22	2	1.264911064		28	2.545454545	3.751363389	11		TCGA	1	0	TCGA
MPS I - Hurler syndrome	22	2	1.264911064		28	2.545454545	3.751363389	11		TCGA	1	0	TCGA
MPS II - Hunter syndrome	22	2	1.264911064		28	2.545454545	3.751363389	11		TCGA	1	0	TCGA
MPS IIIA - Sanfilippo syndrome A	22	2	1.264911064		28	2.545454545	3.751363389	11		TCGA	1	0	TCGA
MPS IIIB - Sanfilippo syndrome B	22	2	1.264911064		28	2.545454545	3.751363389	11		TCGA	1	0	TCGA
MPS IIIC - Sanfilippo syndrome C	22	2	1.264911064		28	2.545454545	3.751363389	11		TCGA	1	0	TCGA
MPS IIID - Sanfilippo syndrome D	22	2	1.264911064		28	2.545454545	3.751363389	11		TCGA	1	0	TCGA
MPS IV - Morquio syndrome A	22	2	1.264911064		28	2.545454545	3.751363389	11		TCGA	1	0	TCGA
MPS IV - Morquio syndrome B	22	2	1.264911064		28	2.545454545	3.751363389	11		TCGA	1	0	TCGA
MPS IX - Natowicz syndrome	22	2	1.264911064		28	2.545454545	3.751363389	11		TCGA	1	0	TCGA
MPS VI - Maroteaux-Lamy syndrome	22	2	1.264911064		28	2.545454545	3.751363389	11		TCGA	1	0	TCGA
MPS VII - Sly syndrome	22	2	1.264911064		28	2.545454545	3.751363389	11		TCGA	1	0	TCGA
Mucopolysaccharidoses	22	2	1.264911064		28	2.545454545	3.751363389	11		TCGA	1	0	TCGA
RNA Polymerase I Transcription	7	0.636363636	1.206045378		27	2.454545455	4.926735965	11		TCGA	1	0	TCGA
Mitotic G1-G1/S phases	9	0.818181818	0.873862898		27	2.454545455	2.841254524	11		TCGA	1	0	TCGA
RNA Polymerase II Transcription	11	1	1.341640786		27	2.454545455	3.724611023	11		TCGA	1	0	TCGA
Meiotic Synapsis	14	1.272727273	1.489356176		27	2.454545455	3.984059145	11		TCGA	1	0	TCGA
Separation of Sister Chromatids	14	1.272727273	0.904534034		27	2.454545455	2.978712351	11		TCGA	1	0	TCGA
Phospholipid metabolism	20	1.818181818	1.662418829		27	2.454545455	2.544155513	11		TCGA	1	0	TCGA
mRNA Processing	26	2.363636364	1.361816968		27	2.454545455	3.44568241	11		TCGA	1	0	TCGA
RNA Polymerase I Promoter Clearance	7	0.636363636	1.206045378		26	2.363636364	4.631905165	11		TCGA	1	0	TCGA
Meiotic Recombination	10	0.909090909	1.375103302		26	2.363636364	4.105428778	11		TCGA	1	0	TCGA
Translation	16	1.454545455	1.293339581		26	2.363636364	4.2958754	11		TCGA	1	0	TCGA
GAB1 signalosome	17	1.545454545	1.752919642		26	2.363636364	3.042128441	11		TCGA	1	0	TCGA
Role of LAT2/NTAL/LAB on calcium mobilization	17	1.545454545	1.572490786		26	2.363636364	3.042128441	11		TCGA	1	0	TCGA
Signaling by Insulin receptor	17	1.545454545	1.752919642		26	2.363636364	3.557322793	11		TCGA	1	0	TCGA
Toll Like Receptor 4 (TLR4) Cascade	18	1.636363636	1.689540013		26	2.363636364	2.83805311	11		TCGA	1	0	TCGA
Collagen formation	22	2	1.341640786		26	2.363636364	4.031692629	11		TCGA	1	0	TCGA
Response to elevated platelet cytosolic Ca2+	23	2.090909091	2.547726259		26	2.363636364	2.377928816	11		TCGA	1	0	TCGA
PI3K/AKT activation	16	1.454545455	1.634847783		25	2.272727273	2.866737138	11		TCGA	1	0	TCGA
Signaling by Wnt	17	1.545454545	1.572490786		25	2.272727273	3.466724941	11		TCGA	1	0	TCGA
Signaling by Interleukins	18	1.636363636	1.501514387		25	2.272727273	3.133397807	11		TCGA	1	0	TCGA
Oxidative Stress Induced Senescence	16	1.454545455	1.439696938		24	2.181818182	4.729020656	11		TCGA	1	0	TCGA
PI-3K cascade	16	1.454545455	1.634847783		24	2.181818182	2.891995222	11		TCGA	1	0	TCGA
PI3K events in ERBB2 signaling	16	1.454545455	1.634847783		24	2.181818182	2.891995222	11		TCGA	1	0	TCGA
PI3K events in ERBB4 signaling	16	1.454545455	1.634847783		24	2.181818182	2.891995222	11		TCGA	1	0	TCGA
PI3K/AKT Signaling in Cancer	16	1.454545455	1.634847783		24	2.181818182	2.891995222	11		TCGA	1	0	TCGA
PIP3 activates AKT signaling	16	1.454545455	1.634847783		24	2.181818182	2.891995222	11		TCGA	1	0	TCGA
RNA Polymerase I Chain Elongation	6	0.545454545	1.213559752		23	2.090909091	4.346367344	11		TCGA	1	0	TCGA
Diseases associated with visual transduction	9	0.818181818	0.873862898		23	2.090909091	3.505839285	11		TCGA	1	0	TCGA
Visual phototransduction	9	0.818181818	0.873862898		23	2.090909091	3.505839285	11		TCGA	1	0	TCGA
Degradation of the extracellular matrix	10	0.909090909	0.70064905		23	2.090909091	2.119176512	11		TCGA	1	0	TCGA
DNA Damage/Telomere Stress Induced Senescence	11	1	1.264911064		23	2.090909091	3.832872173	11		TCGA	1	0	TCGA
Integration of energy metabolism	12	1.090909091	1.221027883		23	2.090909091	3.477198454	11		TCGA	1	0	TCGA
G alpha (s) signalling events	14	1.272727273	1.555050423		23	2.090909091	3.207944683	11		TCGA	1	0	TCGA
Activated TLR4 signalling	16	1.454545455	1.572490786		23	2.090909091	2.34326889	11		TCGA	1	0	TCGA
Collagen biosynthesis and modifying enzymes	18	1.636363636	1.361816968		23	2.090909091	3.448319749	11		TCGA	1	0	TCGA
Transcriptional Regulation of White Adipocyte Differentiation	19	1.727272727	1.555050423		23	2.090909091	2.700168345	11		TCGA	1	0	TCGA
Platelet degranulation	23	2.090909091	2.547726259		23	2.090909091	2.34326889	11		TCGA	1	0	TCGA
G1/S Transition	7	0.636363636	0.809039835		22	2	2.529822128	11		TCGA	1	0	TCGA
The citric acid (TCA) cycle and respiratory electron transport	7	0.636363636	1.026910636		22	2	3.286335345	11		TCGA	1	0	TCGA
S Phase	10	0.909090909	0.943879807		22	2	2.366431913	11		TCGA	1	0	TCGA
Senescence-Associated Secretory Phenotype (SASP)	12	1.090909091	0.943879807		22	2	4.472135955	11		TCGA	1	0	TCGA
Phase 1 - Functionalization of compounds	6	0.545454545	0.687551651		21	1.909090909	2.586679163	11		TCGA	1	0	TCGA
Cell surface interactions at the vascular wall	8	0.727272727	1.009049958		21	1.909090909	2.256304299	11		TCGA	1	0	TCGA
Voltage gated Potassium channels	8	0.727272727	0.646669791		21	1.909090909	2.547726259	11		TCGA	1	0	TCGA
NCAM signaling for neurite out-growth	11	1	1.264911064		21	1.909090909	2.913916452	11		TCGA	1	0	TCGA
TCR signaling	11	1	1.264911064		21	1.909090909	2.071450963	11		TCGA	1	0	TCGA
Constitutive PI3K/AKT Signaling in Cancer	14	1.272727273	1.272077756		21	1.909090909	2.662876094	11		TCGA	1	0	TCGA
Toll Like Receptor 9 (TLR9) Cascade	16	1.454545455	1.967924611		21	1.909090909	2.913916452	11		TCGA	1	0	TCGA
Apoptotic execution  phase	5	0.454545455	0.687551651		20	1.818181818	1.940009372	11		TCGA	1	0	TCGA
Transcription of the HIV genome	8	0.727272727	0.904534034		20	1.818181818	2.600699207	11		TCGA	1	0	TCGA
ABC-family proteins mediated transport	9	0.818181818	1.167748416		20	1.818181818	2.786330268	11		TCGA	1	0	TCGA
Nonsense Mediated Decay Enhanced by the Exon Junction Complex	9	0.818181818	0.750757194		20	1.818181818	2.96034396	11		TCGA	1	0	TCGA
Nonsense-Mediated Decay	9	0.818181818	0.750757194		20	1.818181818	2.96034396	11		TCGA	1	0	TCGA
Resolution of Sister Chromatid Cohesion	9	0.818181818	0.750757194		20	1.818181818	2.136266922	11		TCGA	1	0	TCGA
Mitotic Prometaphase	10	0.909090909	0.831209415		20	1.818181818	2.136266922	11		TCGA	1	0	TCGA
Cell Cycle Checkpoints	15	1.363636364	1.026910636		20	1.818181818	2.088931871	11		TCGA	1	0	TCGA
MyD88-independent cascade	15	1.363636364	1.566698904		20	1.818181818	2.136266922	11		TCGA	1	0	TCGA
Toll Like Receptor 3 (TLR3) Cascade	15	1.363636364	1.566698904		20	1.818181818	2.136266922	11		TCGA	1	0	TCGA
TRIF-mediated TLR3/TLR4 signaling	15	1.363636364	1.566698904		20	1.818181818	2.136266922	11		TCGA	1	0	TCGA
Signaling by NOTCH	16	1.454545455	1.694912173		20	1.818181818	2.442055766	11		TCGA	1	0	TCGA
Cytochrome P450 - arranged by substrate type	3	0.272727273	0.467099366		19	1.727272727	2.453198284	11		TCGA	1	0	TCGA
RNA Polymerase II Pre-transcription Events	7	0.636363636	0.809039835		19	1.727272727	2.37027041	11		TCGA	1	0	TCGA
SRP-dependent cotranslational protein targeting to membrane	7	0.636363636	0.504524979		19	1.727272727	3.068905639	11		TCGA	1	0	TCGA
Amyloids	9	0.818181818	1.167748416		19	1.727272727	4.429241675	11		TCGA	1	0	TCGA
Influenza Infection	10	0.909090909	0.831209415		19	1.727272727	3.289100457	11		TCGA	1	0	TCGA
Influenza Life Cycle	10	0.909090909	0.831209415		19	1.727272727	3.289100457	11		TCGA	1	0	TCGA
Telomere Maintenance	10	0.909090909	1.221027883		19	1.727272727	3.466724941	11		TCGA	1	0	TCGA
Host Interactions of HIV factors	12	1.090909091	0.943879807		19	1.727272727	2.053821272	11		TCGA	1	0	TCGA
MyD88:Mal cascade initiated on plasma membrane	12	1.090909091	1.300349603		19	1.727272727	2.240129866	11		TCGA	1	0	TCGA
Toll Like Receptor 2 (TLR2) Cascade	12	1.090909091	1.300349603		19	1.727272727	2.240129866	11		TCGA	1	0	TCGA
Toll Like Receptor TLR1:TLR2 Cascade	12	1.090909091	1.300349603		19	1.727272727	2.240129866	11		TCGA	1	0	TCGA
Toll Like Receptor TLR6:TLR2 Cascade	12	1.090909091	1.300349603		19	1.727272727	2.240129866	11		TCGA	1	0	TCGA
IGF1R signaling cascade	13	1.181818182	1.250454463		19	1.727272727	2.493628244	11		TCGA	1	0	TCGA
IRS-related events triggered by IGF1R	13	1.181818182	1.250454463		19	1.727272727	2.493628244	11		TCGA	1	0	TCGA
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	13	1.181818182	1.250454463		19	1.727272727	2.493628244	11		TCGA	1	0	TCGA
MyD88 dependent cascade initiated on endosome	16	1.454545455	1.967924611		19	1.727272727	2.723633936	11		TCGA	1	0	TCGA
Toll Like Receptor 7/8 (TLR7/8) Cascade	16	1.454545455	1.967924611		19	1.727272727	2.723633936	11		TCGA	1	0	TCGA
Cell junction organization	18	1.636363636	1.286291357		19	1.727272727	1.848832555	11		TCGA	1	0	TCGA
Regulation of mRNA Stability by Proteins that Bind AU-rich Elements	4	0.363636364	0.504524979		18	1.636363636	2.292279532	11		TCGA	1	0	TCGA
Unfolded Protein Response	8	0.727272727	0.904534034		18	1.636363636	2.766684921	11		TCGA	1	0	TCGA
Regulation of Insulin Secretion	9	0.818181818	1.07871978		18	1.636363636	2.873072476	11		TCGA	1	0	TCGA
3' -UTR-mediated translational regulation	10	0.909090909	0.831209415		18	1.636363636	3.264130122	11		TCGA	1	0	TCGA
L13a-mediated translational silencing of Ceruloplasmin expression	10	0.909090909	0.831209415		18	1.636363636	3.264130122	11		TCGA	1	0	TCGA
Cap-dependent Translation Initiation	11	1	1.095445115		18	1.636363636	3.264130122	11		TCGA	1	0	TCGA
Eukaryotic Translation Initiation	11	1	1.095445115		18	1.636363636	3.264130122	11		TCGA	1	0	TCGA
Inositol phosphate metabolism	12	1.090909091	1.758098146		18	1.636363636	1.361816968	11		TCGA	1	0	TCGA
Insulin receptor signalling cascade	13	1.181818182	1.250454463		18	1.636363636	2.540579748	11		TCGA	1	0	TCGA
IRS-mediated signalling	13	1.181818182	1.250454463		18	1.636363636	2.540579748	11		TCGA	1	0	TCGA
IRS-related events	13	1.181818182	1.250454463		18	1.636363636	2.540579748	11		TCGA	1	0	TCGA
Defective AMN causes hereditary megaloblastic anemia 1	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defective BTD causes biotidinase deficiency	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defective CD320 causes methylmalonic aciduria	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defective CUBN causes hereditary megaloblastic anemia 1	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defective GIF causes intrinsic factor deficiency	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defective HLCS causes multiple carboxylase deficiency	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defective MMAA causes methylmalonic aciduria type cblA	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defective MMAB causes methylmalonic aciduria type cblB	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defective MTR causes methylmalonic aciduria and homocystinuria type cblG	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defective MUT causes methylmalonic aciduria mut type	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defective TCN2 causes hereditary megaloblastic anemia	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defects in biotin (Btn) metabolism	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defects in cobalamin (B12) metabolism	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Defects in vitamin and cofactor metabolism	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Metabolism of vitamins and cofactors	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
Metabolism of water-soluble vitamins and cofactors	15	1.363636364	1.747725795		18	1.636363636	2.062654953	11		TCGA	1	0	TCGA
RNA Polymerase I Promoter Opening	5	0.454545455	0.934198733		17	1.545454545	3.830499611	11		TCGA	1	0	TCGA
Deposition of New CENPA-containing Nucleosomes at the Centromere	6	0.545454545	1.035725481		17	1.545454545	3.830499611	11		TCGA	1	0	TCGA
Influenza Viral RNA Transcription and Replication	6	0.545454545	0.522232968		17	1.545454545	2.80583807	11		TCGA	1	0	TCGA
Nucleosome assembly	6	0.545454545	1.035725481		17	1.545454545	3.830499611	11		TCGA	1	0	TCGA
Packaging Of Telomere Ends	6	0.545454545	0.934198733		17	1.545454545	3.503245249	11		TCGA	1	0	TCGA
Phase II conjugation	6	0.545454545	0.820199532		17	1.545454545	2.876234913	11		TCGA	1	0	TCGA
Downstream TCR signaling	8	0.727272727	0.904534034		17	1.545454545	1.809068067	11		TCGA	1	0	TCGA
Heparan sulfate/heparin (HS-GAG) metabolism	8	0.727272727	0.786245393		17	1.545454545	3.17375602	11		TCGA	1	0	TCGA
Platelet homeostasis	9	0.818181818	1.250454463		17	1.545454545	2.621588693	11		TCGA	1	0	TCGA
GTP hydrolysis and joining of the 60S ribosomal subunit	10	0.909090909	0.831209415		17	1.545454545	2.978712351	11		TCGA	1	0	TCGA
WNT ligand biogenesis and trafficking	10	0.909090909	1.221027883		17	1.545454545	2.733628957	11		TCGA	1	0	TCGA
PI Metabolism	11	1	1.095445115		17	1.545454545	1.967924611	11		TCGA	1	0	TCGA
Formation of HIV elongation complex in the absence of HIV Tat	4	0.363636364	0.674199862		16	1.454545455	2.018099916	11		TCGA	1	0	TCGA
Formation of HIV-1 elongation complex containing HIV-1 Tat	4	0.363636364	0.674199862		16	1.454545455	2.018099916	11		TCGA	1	0	TCGA
Formation of RNA Pol II elongation complex	4	0.363636364	0.674199862		16	1.454545455	2.018099916	11		TCGA	1	0	TCGA
HIV Transcription Elongation	4	0.363636364	0.674199862		16	1.454545455	2.018099916	11		TCGA	1	0	TCGA
RNA Polymerase II Transcription Elongation	4	0.363636364	0.674199862		16	1.454545455	2.018099916	11		TCGA	1	0	TCGA
Tat-mediated elongation of the HIV-1 transcript	4	0.363636364	0.674199862		16	1.454545455	2.018099916	11		TCGA	1	0	TCGA
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways"	7	0.636363636	0.674199862		16	1.454545455	2.381748785	11		TCGA	1	0	TCGA
Synthesis of DNA	7	0.636363636	0.674199862		16	1.454545455	1.809068067	11		TCGA	1	0	TCGA
Formation of a pool of free 40S subunits	8	0.727272727	0.646669791		16	1.454545455	3.012096823	11		TCGA	1	0	TCGA
Metabolism of nucleotides	8	0.727272727	1.009049958		16	1.454545455	1.916436086	11		TCGA	1	0	TCGA
Regulation of Cholesterol Biosynthesis by SREBP (SREBF)	8	0.727272727	0.904534034		16	1.454545455	2.252271581	11		TCGA	1	0	TCGA
G2/M Transition	10	0.909090909	0.831209415		16	1.454545455	2.339386089	11		TCGA	1	0	TCGA
Mitotic G2-G2/M phases	10	0.909090909	0.831209415		16	1.454545455	2.339386089	11		TCGA	1	0	TCGA
Opioid Signalling	10	0.909090909	0.943879807		16	1.454545455	1.694912173	11		TCGA	1	0	TCGA
RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways	10	0.909090909	1.300349603		16	1.454545455	2.161649202	11		TCGA	1	0	TCGA
MyD88 cascade initiated on plasma membrane	11	1	1.264911064		16	1.454545455	2.161649202	11		TCGA	1	0	TCGA
Toll Like Receptor 10 (TLR10) Cascade	11	1	1.264911064		16	1.454545455	2.161649202	11		TCGA	1	0	TCGA
Toll Like Receptor 5 (TLR5) Cascade	11	1	1.264911064		16	1.454545455	2.161649202	11		TCGA	1	0	TCGA
"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds"	13	1.181818182	1.60113596		16	1.454545455	2.067057637	11		TCGA	1	0	TCGA
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	15	1.363636364	1.963299634		16	1.454545455	2.161649202	11		TCGA	1	0	TCGA
