	DFCI.11-104.02-Tumor COMB.csv	DFCI.11-104.13 COMB.csv	MO_1008-Tumor_Bone COMB.csv	MO_1008-Tumor_Dura COMB.csv	MO_1012-Abdomen COMB.csv	MO_1012-Subcut COMB.csv	MO_1013-Tumour COMB.csv	MO_1014-Tumour COMB.csv	MO_1015-Tumor COMB.csv	MO_1020-Tumor COMB.csv	MO_1021-Tumor COMB.csv	MO_1040-Tumor COMB.csv	MO_1054-Tumor COMB.csv	MO_1074-Tumor COMB.csv	MO_1084-Tumor COMB.csv	MO_1094-Tumor COMB.csv	MO_1095-Tumor COMB.csv	MO_1096-Tumor COMB.csv	MO_1105-Tumor COMB.csv	MO_1114-Tumor COMB.csv	MO_1124-Tumor COMB.csv	MO_1128-Tumor COMB.csv	MO_1130-Tumor COMB.csv	MO_1132-Tumor COMB.csv	MO_1139-Tumor COMB.csv	MO_1162-Tumor COMB.csv	MO_1176-Tumor COMB.csv	MO_1179-Tumor COMB.csv	MO_1184-Tumor COMB.csv	MO_1192-Tumor COMB.csv	MO_1202-Tumor COMB.csv	MO_1215-Tumor COMB.csv	MO_1219-Tumor COMB.csv	MO_1221-Tumor COMB.csv	MO_1232-Tumor COMB.csv	MO_1241-Tumor COMB.csv	MO_1244-Tumor COMB.csv	MO_1249-Tumor COMB.csv	MO_1262-Tumor COMB.csv	MO_1263-Tumor COMB.csv	PROS10448-1115149-Tumor-SM-5EEBJ COMB.csv	PROS10448-SUTC.01115082-Tumor-SM-47C6B COMB.csv	PROS10448-SUTC.01115091-Tumor-SM-4JC71 COMB.csv	PROS10448-SUTC.01115092-Tumor-SM-4JC74 COMB.csv	PROS12319B-SU2C-06115116-Tumor-SM-4W2NB COMB.csv	SC_9009-Tumor COMB.csv	SC_9012-Tumor COMB.csv	SC_9025-Tumor COMB.csv	SC_9063-Tumor COMB.csv	SC_9066-Tumor COMB.csv	P00-000450 COMB.csv	P01-28 COMB.csv	P02-1562 COMB.csv	P02-2035 COMB.csv	P03-1334 COMB.csv	P03-1426 COMB.csv	P03-1906 COMB.csv	P03-2345 COMB.csv	P03-2620 COMB.csv	P03-3391 COMB.csv	P03-3676 COMB.csv	P03-595 COMB.csv	P03-871 COMB.csv	P04-1084 COMB.csv	P04-1243 COMB.csv	P04-1421 COMB.csv	P04-1790 COMB.csv	P04-2599 COMB.csv	P04-2641 COMB.csv	P04-2666 COMB.csv	P04-2740 COMB.csv	P04-47 COMB.csv	P04-594 COMB.csv	P05-2212 COMB.csv	P05-2594 COMB.csv	P05-3436 COMB.csv	P05-3829 COMB.csv	P05-3852 COMB.csv	P05-3859 COMB.csv	P05-620 COMB.csv	P06-1125 COMB.csv	P06-1696 COMB.csv	P06-2325 COMB.csv	P06-3939 COMB.csv	P06-4428 COMB.csv	P07-144 COMB.csv	P07-837 COMB.csv	P08-2516 COMB.csv	P08-590 COMB.csv	P09-120 COMB.csv	P09-1372 COMB.csv	P09-1580 COMB.csv	P09-2497 COMB.csv	P09-649 COMB.csv	PR-00-1165 COMB.csv	PR-00-160 COMB.csv	PR-00-1823 COMB.csv	PR-0099 COMB.csv	PR-01-1934 COMB.csv	PR-01-2382 COMB.csv
Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD	14	5	2	3	11	11	2	2	2	0	0	0	0	1	0	0	1	1	2	0	2	2	12	1	0	8	0	8	0	0	2	2	0	7	4	3	2	1	1	2	0	1	1	3	3	0	1	0	4	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	7	1	0	0	1	1
Defective MTR causes methylmalonic aciduria and homocystinuria type cblG	14	5	2	3	11	11	2	2	2	0	0	0	0	1	0	0	1	1	2	0	2	2	12	1	0	8	0	8	0	0	2	2	0	7	4	3	2	1	1	2	0	1	1	3	3	0	1	0	4	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	7	1	0	0	1	1
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE	14	5	2	3	11	11	2	2	2	0	0	0	0	1	0	0	1	1	2	0	2	2	12	1	0	8	0	8	0	0	2	2	0	7	4	3	2	1	1	2	0	1	1	3	3	0	1	0	4	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	7	1	0	0	1	1
Defective MUT causes methylmalonic aciduria mut type	14	5	2	3	11	11	2	2	2	0	0	0	0	1	0	0	1	1	2	0	2	2	12	1	0	8	0	8	0	0	2	2	0	7	4	3	2	1	1	2	0	1	1	3	3	0	1	0	4	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	7	1	0	0	1	1
Defective TCN2 causes hereditary megaloblastic anemia	14	5	2	3	11	11	2	2	2	0	0	0	0	1	0	0	1	1	2	0	2	2	12	1	0	8	0	8	0	0	2	2	0	7	4	3	2	1	1	2	0	1	1	3	3	0	1	0	4	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	7	1	0	0	1	1
Defects in biotin (Btn) metabolism	14	5	2	3	11	11	2	2	2	0	0	0	0	1	0	0	1	1	2	0	2	2	12	1	0	8	0	8	0	0	2	2	0	7	4	3	2	1	1	2	0	1	1	3	3	0	1	0	4	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	7	1	0	0	1	1
Defects in cobalamin (B12) metabolism	14	5	2	3	11	11	2	2	2	0	0	0	0	1	0	0	1	1	2	0	2	2	12	1	0	8	0	8	0	0	2	2	0	7	4	3	2	1	1	2	0	1	1	3	3	0	1	0	4	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	7	1	0	0	1	1
Defects in vitamin and cofactor metabolism	14	5	2	3	11	11	2	2	2	0	0	0	0	1	0	0	1	1	2	0	2	2	12	1	0	8	0	8	0	0	2	2	0	7	4	3	2	1	1	2	0	1	1	3	3	0	1	0	4	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	7	1	0	0	1	1
Defensins	7	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	15	0	0	0	0	12	0	1	1	1	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
degradation of AXIN	13	1	0	0	2	4	2	1	1	2	0	0	0	0	0	0	0	2	0	0	1	0	2	0	1	4	2	6	0	0	0	0	0	6	5	3	0	2	4	0	0	1	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	0	0	0	0	0
Degradation of beta-catenin by the destruction complex	14	2	1	1	7	8	3	1	2	2	0	0	0	1	1	0	1	2	1	1	1	2	2	0	2	4	2	9	0	0	1	0	0	7	6	3	0	2	4	0	0	1	0	2	2	2	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	7	1	0	0	0	0
Degradation of cysteine and homocysteine	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
degradation of DVL	12	0	0	0	2	4	2	1	1	2	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1	4	2	5	0	0	0	0	0	4	5	4	0	2	5	0	0	1	0	1	3	2	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0
Degradation of GABA	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Degradation of the extracellular matrix	6	2	2	0	12	10	2	3	1	0	0	1	1	2	1	0	0	4	1	2	2	0	7	1	0	8	4	8	0	1	0	3	0	9	3	1	3	2	2	1	0	1	1	3	2	0	1	0	1	2	0	0	0	1	0	2	1	0	0	1	0	0	0	1	3	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	3	1	0	0	1	0
deletions in the AMER1 gene destabilize the destruction complex	14	2	1	1	7	8	3	1	2	2	0	0	0	1	1	0	1	2	1	1	1	2	2	0	2	4	2	9	0	0	1	0	0	7	6	3	0	2	4	0	0	1	0	2	2	2	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	7	1	0	0	0	0
deletions in the AXIN genes in hepatocellular carcinoma result in elevated WNT signaling	14	2	1	1	7	8	3	1	2	2	0	0	0	1	1	0	1	2	1	1	1	2	2	0	2	4	2	9	0	0	1	0	0	7	6	3	0	2	4	0	0	1	0	2	2	2	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	7	1	0	0	0	0
Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels	2	0	1	1	4	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Depolymerisation of the Nuclear Lamina	3	1	0	1	2	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	3	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deposition of new CENPA-containing nucleosomes at the centromere	8	2	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	3	3	0	0	0	3	0	0	4	0	6	1	0	1	0	0	1	2	0	2	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Depurination	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Depyrimidination	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dermatan sulfate biosynthesis	1	0	0	0	1	2	0	2	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Detoxification of Reactive Oxygen Species	4	0	0	0	2	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	2	0	6	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Developmental Biology	60	15	14	16	65	52	30	15	13	5	1	4	1	4	4	1	9	13	14	7	4	3	21	5	3	31	15	47	3	7	10	10	2	35	31	22	7	6	22	8	1	8	11	17	20	7	3	2	11	9	2	5	2	5	3	2	2	2	0	1	0	2	1	2	8	3	1	2	3	1	3	0	2	3	1	1	0	3	3	4	2	3	0	3	4	7	5	1	3	1	3	6	9	4	28	2	5	3	4	4
DEx/H-box helicases activate type I IFN and inflammatory cytokines production	2	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Digestion of dietary carbohydrate	1	0	0	0	2	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Digestion of dietary lipid	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dimerization of procaspase-8	1	1	0	1	1	0	2	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	2	2	2	2	0	2	1	0	2	0	0	1	2	0	0	2	1	1	0	2	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
disassembly of the destruction complex and recruitment of AXIN to the membrane	5	1	1	1	4	4	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	4	1	0	1	1	0	5	0	0	1	0	0	1	2	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	3	1	0	0	0	0
Disease	164	31	23	18	96	69	44	14	21	8	0	5	5	8	8	6	10	22	22	14	13	18	79	9	7	77	25	118	10	16	17	21	6	80	62	34	20	17	31	10	5	14	26	37	36	7	20	5	22	16	4	8	3	2	6	4	2	5	2	1	3	2	2	5	16	3	3	4	2	4	2	1	2	5	0	3	2	5	5	6	6	3	2	1	3	9	5	4	2	0	3	2	5	3	60	7	3	2	8	6
Diseases associated with visual transduction	14	2	1	1	7	3	4	1	0	0	0	0	0	0	0	0	0	0	1	1	1	2	12	0	0	6	2	9	0	0	2	1	0	6	5	1	4	2	1	2	2	1	1	3	1	1	2	0	2	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0
Disinhibition of SNARE formation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Displacement of DNA glycosylase by  APE1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dissolution of Fibrin Clot	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	2	0	2	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA Damage Bypass	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DNA Damage Recognition in GG-NER	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA Damage Reversal	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA Damage/Telomere Stress Induced Senescence	5	2	1	3	5	7	1	2	0	1	0	0	0	0	2	0	1	4	3	1	2	2	4	0	1	3	2	6	0	4	1	2	0	0	2	3	3	1	0	1	0	0	3	1	3	0	1	0	0	1	2	1	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
DNA Repair	22	1	0	2	14	12	5	1	1	0	0	0	0	0	1	0	0	1	1	4	0	3	11	0	0	11	5	12	1	3	2	0	0	2	5	2	1	2	6	0	0	2	5	3	2	0	1	1	0	3	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	1
DNA Replication	24	1	0	0	10	10	4	2	2	2	0	0	0	0	0	0	0	3	1	0	2	2	5	0	2	6	3	12	0	0	2	1	0	5	7	4	1	2	5	0	0	1	0	3	3	1	1	0	1	1	1	0	1	0	0	2	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	5	1	0	0	0	0
DNA replication initiation	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA Replication Pre-Initiation	19	1	0	0	7	6	3	2	2	2	0	0	0	0	0	0	0	3	0	0	1	1	3	0	2	4	2	8	0	0	0	0	0	4	7	3	0	2	4	0	0	1	0	3	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	5	0	0	0	0	0
DNA strand elongation	11	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	3	0	1	2	1	7	0	0	2	0	0	1	2	0	0	1	1	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Dopamine clearance from the synaptic cleft	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dopamine Neurotransmitter Release Cycle	3	1	0	1	4	4	3	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	3	0	3	0	0	0	0	0	1	2	1	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
Dopamine receptors	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Double-Strand Break Repair	4	0	0	1	3	3	3	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	4	0	0	0	1	3	0	1	0	0	0	1	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Downregulation of ERBB2:ERBB3 signaling	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
Downregulation of ERBB4 signaling	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Downregulation of SMAD2/3:SMAD4 transcriptional activity	1	1	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	2	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Downregulation of TGF-beta receptor signaling	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	1	3	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
Downstream signal transduction	23	4	5	4	15	8	8	5	5	3	0	0	1	3	1	3	4	2	3	5	3	5	10	4	1	12	2	22	1	4	1	4	1	12	9	3	2	6	2	2	0	2	6	3	4	3	4	0	3	0	2	1	0	1	1	1	0	0	2	0	1	1	0	1	3	0	1	1	0	0	1	0	0	1	0	0	1	1	2	1	3	1	0	0	0	1	2	0	0	0	1	0	3	1	14	2	1	2	2	3
Downstream signaling events of B Cell Receptor (BCR)	30	2	2	2	15	11	6	5	8	4	0	0	1	2	1	3	3	4	2	2	4	4	12	4	2	15	4	22	1	3	2	3	1	15	11	6	4	7	5	2	0	2	3	4	6	4	3	0	2	1	2	1	1	0	1	1	0	0	1	1	1	1	0	1	3	0	1	1	1	0	1	0	0	1	0	0	1	2	3	1	3	2	0	0	1	1	2	0	0	0	1	1	2	1	14	2	1	2	2	3
Downstream signaling of activated FGFR	19	3	6	4	14	8	7	4	5	2	0	0	1	3	1	3	3	3	2	5	3	5	9	4	1	12	2	23	1	4	1	4	1	13	9	3	2	6	2	2	0	2	4	3	3	2	4	0	3	0	2	1	0	1	1	1	0	0	2	0	1	1	0	1	2	0	1	1	0	0	1	0	0	1	0	0	1	1	2	1	3	1	0	0	0	1	2	0	0	0	1	0	3	1	10	2	1	2	2	3
Downstream TCR signaling	3	0	1	1	3	4	2	0	2	1	0	0	1	1	1	1	3	0	0	0	2	0	5	1	1	1	0	3	0	2	1	2	0	1	0	1	2	1	1	2	0	0	2	0	2	1	2	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0
DSCAM interactions	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	1	0	2	0	1	0	0	0	0	0	1	2	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
